iso,blender_ram_mb,vram_used_mb,vram_free_mb,util
2026-07-21T12:51:14.2132527-04:00,108,178,24148,0
2026-07-21T12:51:16.2724154-04:00,205,178,24148,0
2026-07-21T12:51:18.3329211-04:00,247,178,24148,0
2026-07-21T12:51:20.3838702-04:00,688,178,24148,0
2026-07-21T12:51:22.4484082-04:00,1028,286,24040,0
2026-07-21T12:51:24.5054685-04:00,1047,287,24039,0
2026-07-21T12:51:26.5625456-04:00,1113,287,24039,0
2026-07-21T12:51:28.6305465-04:00,1123,287,24039,0
2026-07-21T12:51:30.6899901-04:00,1113,287,24039,0
2026-07-21T12:51:32.7573704-04:00,1061,378,23948,0
