iso,blender_ram_mb,vram_used_mb,vram_free_mb,util
2026-07-21T13:02:47.4869732-04:00,112,178,24148,0
2026-07-21T13:02:49.5557008-04:00,1145,178,24148,0
2026-07-21T13:02:51.6244640-04:00,1450,178,24148,0
2026-07-21T13:02:53.6808320-04:00,1326,178,24148,0
2026-07-21T13:02:55.7490874-04:00,1526,178,24148,0
2026-07-21T13:02:57.8140805-04:00,1480,178,24148,0
2026-07-21T13:02:59.8720814-04:00,1621,178,24148,0
2026-07-21T13:03:01.9414659-04:00,1751,178,24148,0
2026-07-21T13:03:04.0000742-04:00,1888,178,24148,0
2026-07-21T13:03:06.0579259-04:00,2024,178,24148,0
2026-07-21T13:03:08.1194105-04:00,3407,178,24148,0
2026-07-21T13:03:10.1741330-04:00,5253,178,24148,0
2026-07-21T13:03:12.2283957-04:00,8623,178,24148,0
2026-07-21T13:03:14.2814517-04:00,2848,178,24148,0
2026-07-21T13:03:16.3255813-04:00,5242,178,24148,0
2026-07-21T13:03:18.4390127-04:00,8108,178,24148,0
2026-07-21T13:03:20.5017567-04:00,3527,178,24148,0
2026-07-21T13:03:22.5686336-04:00,6123,178,24148,0
2026-07-21T13:03:24.7672009-04:00,7786,178,24148,0
2026-07-21T13:03:26.8193493-04:00,4483,178,24148,0
2026-07-21T13:03:28.8721755-04:00,10390,178,24148,0
2026-07-21T13:03:30.9208983-04:00,3093,178,24148,0
2026-07-21T13:03:32.9739606-04:00,5526,178,24148,0
2026-07-21T13:03:35.2094804-04:00,7687,178,24148,0
2026-07-21T13:03:37.2451448-04:00,3943,178,24148,0
2026-07-21T13:03:39.2931368-04:00,7507,178,24148,0
2026-07-21T13:03:41.4514373-04:00,7573,178,24148,0
2026-07-21T13:03:43.4931633-04:00,1940,178,24148,0
2026-07-21T13:03:45.5253155-04:00,1940,178,24148,0
2026-07-21T13:03:47.5606643-04:00,1940,178,24148,0
2026-07-21T13:03:49.6206654-04:00,1940,178,24148,0
